directive_Text,filePath,className,methodName,kind,,,,,,
"@param iterator the iterator to add to the collation, must not be null",org/apache/commons/collections/iterators/CollatingIterator,CollatingIterator,addIterator,Not Null Directive,,,,,,
"@param entry the entry to query, must not be null ",org/apache/commons/collections/map/AbstractLinkedMap,AbstractLinkedMap,entryAfter,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null",org/apache/commons/collections/set/TransformedSortedSet,TransformedSortedSet,TransformedSortedSet,Not Null Directive,,,,,,
"@param bag the bag to decorate, must not be null",org/apache/commons/collections/bag/AbstractBagDecorator,AbstractBagDecorator,AbstractBagDecorator,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null",org/apache/commons/collections/set/UnmodifiableSortedSet,UnmodifiableSortedSet,decorate,Not Null Directive,,,,,,
"@param transformer the transformer to use for conversion, must not be null ",org/apache/commons/collections/collection/TransformedCollection,TransformedCollection,decorate,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null",org/apache/commons/collections/set/UnmodifiableSet,UnmodifiableSet,decorate,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null ",org/apache/commons/collections/set/SynchronizedSortedSet,SynchronizedSortedSet,decorate,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null",org/apache/commons/collections/set/AbstractSetDecorator,AbstractSetDecorator,AbstractSetDecorator,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,getLazySortedMap,Not Null Directive,,,,,,
 @param timestamp is the timestamp's date and time. It must not be null,java/security/Timestamp,Timestamp,Timestamp,Not Null Directive,,,,,,
 @param signerCertPath is the TSA's certificate path. It must not be null,java/security/Timestamp,Timestamp,Timestamp,Not Null Directive,,,,,,
"@param buffer the buffer to decorate, must not be null",org/apache/commons/collections/buffer/SynchronizedBuffer,SynchronizedBuffer,SynchronizedBuffer,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/UnmodifiableSortedMap,UnmodifiableSortedMap,decorate,Not Null Directive,,,,,,
"@param key the key to add, must not be null",org/apache/commons/collections/map/AbstractReferenceMap,AbstractReferenceMap,put,Not Null Directive,,,,,,
"@param value the value to add, must not be null",org/apache/commons/collections/map/AbstractReferenceMap,AbstractReferenceMap,put,Not Null Directive,,,,,,
"@param entry the entry to copy, must not be null",org/apache/commons/collections/keyvalue/DefaultKeyValue,DefaultKeyValue,DefaultKeyValue,Not Null Directive,,,,,,
@param actions Must be either null or the empty string.,java/util/logging/LoggingPermission,LoggingPermission,LoggingPermission,Not Null Directive,,,,,,
Context must not be null,java/security/AccessControlContext,AccessControlContext,AccessControlContext,Not Null Directive,,,,,,
"@param pair the pair to copy, must not be null",org/apache/commons/collections/keyvalue/DefaultMapEntry,DefaultMapEntry,DefaultMapEntry,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/FixedSizeSortedMap,FixedSizeSortedMap,decorate,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null",org/apache/commons/collections/list/UnmodifiableList,UnmodifiableList,UnmodifiableList,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/AbstractSortedMapDecorator,AbstractSortedMapDecorator,AbstractSortedMapDecorator,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null",org/apache/commons/collections/set/TransformedSortedSet,TransformedSortedSet,decorate,Not Null Directive,,,,,,
May not be null.,org/eclipse/jface/fieldassist/ContentProposalAdapter,ContentProposalAdapter,ContentProposalAdapter,Not Null Directive,,,,,,
May not be null,org/eclipse/jface/fieldassist/ContentProposalAdapter,ContentProposalAdapter,ContentProposalAdapter,Not Null Directive,,,,,,
"@param list the list to decorate, must be empty and not null",org/apache/commons/collections/set/ListOrderedSet,ListOrderedSet,decorate,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/map/DefaultedMap,DefaultedMap,decorate,Not Null Directive,,,,,,
"For instance, for types Http, and Socks, a SocketAddress must be provided. ",java/net/Proxy,Proxy,Proxy,Not Null Directive,,,,,,
Note: You must specify the parameter's SQL type.,java/sql/CallableStatement,CallableStatement,setNull,Not Null Directive,,,,,,
"@param pair the pair to copy, must not be null",org/apache/commons/collections/keyvalue/UnmodifiableMapEntry,UnmodifiableMapEntry,UnmodifiableMapEntry,Not Null Directive,,,,,,
@param bindingManager The binding manager which will provide the callback; must not be null.,org/eclipse/jface/action/ExternalActionManager/CommandCallback/ExternalActionManager,ExternalActionManager,CommandCallback,Not Null Directive,,,,,,
@param commandManager The command manager which will provide the callback; must not be null.,org/eclipse/jface/action/ExternalActionManager/CommandCallback/ExternalActionManager,ExternalActionManager,CommandCallback,Not Null Directive,,,,,,
@param bindingManager The binding manager which will provide the callback; must not be null.,org/eclipse/jface/action/ExternalActionManager/CommandCallback/ExternalActionManager,ExternalActionManager,CommandCallback,Not Null Directive,,,,,,
@param commandManager The command manager which will provide the callback; must not be null.,org/eclipse/jface/action/ExternalActionManager/CommandCallback/ExternalActionManager,ExternalActionManager,CommandCallback,Not Null Directive,,,,,,
@param activeChecker The callback mechanism for checking whether a command is active; must not be null,org/eclipse/jface/action/ExternalActionManager/CommandCallback/ExternalActionManager,ExternalActionManager,CommandCallback,Not Null Directive,,,,,,
 @param commandManager The command manager which will provide the callback; must not be null.,org/eclipse/jface/action/ExternalActionManager/CommandCallback/ExternalActionManager,ExternalActionManager,CommandCallback,Not Null Directive,,,,,,
@param activeChecker The callback mechanism for checking whether a command is active; must not be null,org/eclipse/jface/action/ExternalActionManager/CommandCallback/ExternalActionManager,ExternalActionManager,CommandCallback,Not Null Directive,,,,,,
@exception IllegalArgumentException if listener is null ,org/eclipse/jface/contentassist/IContentAssistSubjectControl,IContentAssistSubjectControl,removeSelectionListener,Not Null Directive,,,,,,
@exception IllegalArgumentException if listener is null\n,org/eclipse/jface/contentassist/IContentAssistSubjectControl,IContentAssistSubjectControl,addSelectionListener,Not Null Directive,,,,,,
" @param bag the bag to decorate, must not be null",org/apache/commons/collections/bag/SynchronizedSortedBag,SynchronizedSortedBag,SynchronizedSortedBag,Not Null Directive,,,,,,
@return The string representation; never null. ,org/eclipse/jface/bindings/Binding,Binding,toString,Not Null Directive,,,,,,
"@param lock the lock to use, must not be null",org/apache/commons/collections/bag/SynchronizedBag,SynchronizedBag,SynchronizedBag,Not Null Directive,,,,,,
