kind,containing-api-element,directive_Text,group_Id
"Not Null Directive","org/apache/commons/collections/iterators/CollatingIterator/addIterator/Iterator","@param iterator the iterator to add to the collation, must not be null",0
"Not Null Directive","org/apache/commons/collections/map/AbstractLinkedMap/entryAfter/LinkEntry","@param entry the entry to query, must not be null ",0
"Not Null Directive","org/apache/commons/collections/set/TransformedSortedSet/TransformedSortedSet/SortedSet;Transformer","@param set the set to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/bag/AbstractBagDecorator/AbstractBagDecorator/Bag","@param bag the bag to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/set/UnmodifiableSortedSet/decorate/SortedSet","@param set the set to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/collection/TransformedCollection/decorate/Collection;Transformer","@param transformer the transformer to use for conversion, must not be null ",0
"Not Null Directive","org/apache/commons/collections/set/UnmodifiableSet/decorate/Set","@param set the set to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/set/SynchronizedSortedSet/decorate/SortedSet","@param set the set to decorate, must not be null ",0
"Not Null Directive","org/apache/commons/collections/set/AbstractSetDecorator/AbstractSetDecorator/Set","@param set the set to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/map/LazySortedMap/getLazySortedMap/SortedMap;Transformer","@param map the map to decorate, must not be null",0
"Not Null Directive","java/security/Timestamp/Timestamp/Date;CertPath"," @param timestamp is the timestamp's date and time. It must not be null",0
"Not Null Directive","java/security/Timestamp/Timestamp/Date;CertPath"," @param signerCertPath is the TSA's certificate path. It must not be null",0
"Not Null Directive","org/apache/commons/collections/buffer/SynchronizedBuffer/SynchronizedBuffer/Buffer;Object","@param buffer the buffer to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/map/UnmodifiableSortedMap/decorate/SortedMap","@param map the map to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/map/AbstractReferenceMap/put/Object;Object","@param key the key to add, must not be null",0
"Not Null Directive","org/apache/commons/collections/map/AbstractReferenceMap/put/Object;Object","@param value the value to add, must not be null",0
"Not Null Directive","org/apache/commons/collections/keyvalue/DefaultKeyValue/DefaultKeyValue/Entry","@param entry the entry to copy, must not be null",0
"Not Null Directive","java/util/logging/LoggingPermission/LoggingPermission/String;String","@param actions Must be either null or the empty string.",0
"Not Null Directive","java/security/AccessControlContext/AccessControlContext/ProtectionDomain[]","Context must not be null",0
"Not Null Directive","org/apache/commons/collections/keyvalue/DefaultMapEntry/DefaultMapEntry/KeyValue","@param pair the pair to copy, must not be null",0
"Not Null Directive","org/apache/commons/collections/map/FixedSizeSortedMap/decorate/SortedMap","@param map the map to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/list/UnmodifiableList/UnmodifiableList/List","@param list the list to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/map/AbstractSortedMapDecorator/AbstractSortedMapDecorator/SortedMap","@param map the map to decorate, must not be null",0
"Not Null Directive","org/apache/commons/collections/set/TransformedSortedSet/decorate/SortedSet;Transformer","@param set the set to decorate, must not be null",0
"Not Null Directive","org/eclipse/jface/fieldassist/ContentProposalAdapter/ContentProposalAdapter/Control;IControlContentAdapter;IContentProposalProvider;KeyStroke;char[]","May not be null.",0
"Not Null Directive","org/eclipse/jface/fieldassist/ContentProposalAdapter/ContentProposalAdapter/Control;IControlContentAdapter;IContentProposalProvider;KeyStroke;char[]","May not be null",0
"Not Null Directive","org/apache/commons/collections/set/ListOrderedSet/decorate/Set;List","@param list the list to decorate, must be empty and not null",0
"Not Null Directive","org/apache/commons/collections/map/DefaultedMap/decorate/Map;Factory","@param map the map to decorate, must not be null ",0
"Not Null Directive","java/net/Proxy/Proxy/Type;SocketAddress","For instance, for types Http, and Socks, a SocketAddress must be provided. ",0
"Not Null Directive","java/sql/CallableStatement/setNull/String;int","Note: You must specify the parameter's SQL type.",0
"Not Null Directive","org/apache/commons/collections/keyvalue/UnmodifiableMapEntry/UnmodifiableMapEntry/KeyValue","@param pair the pair to copy, must not be null",0
"Not Null Directive","org/eclipse/jface/action/ExternalActionManager/CommandCallback/ExternalActionManager/CommandCallback/BindingManager;CommandManager","@param bindingManager The binding manager which will provide the callback; must not be null.",0
