id,id_sub,is_directive,type,path,text:
2,0,1,package,org/eclipse/jface/dialogs#0,\nProvides support for dialogs.\n<h2>\nPackage Specification</h2>\nA dialog is a specialized window, typically consisting of a dialog area\nand a button bar, designed for narrow-focussed communication with the user.\n<p>The dialog framework consists of an abstract base class (<tt>Dialog</tt>),\nalong with more concrete dialog subclasses for displaying messages (<tt>MessageDialog</tt>),\nsoliciting text input (<tt>InputDialog</tt>), and displaying progress during\na long-running operation (<tt>ProgressMonitorDialog</tt>).\n<p>Dialog stores (<tt>IDialogStore</tt>, <tt>DialogStore</tt>) provide\na general framework for organizing a dialog's settings into key/value pairs.\nMulti-page dialogs are made easier through the use of dialog pages (<tt>IDialogPage</tt>,\n<tt>DialogPage</tt>).\n<p>Note: None of the classes in this package maintain global state.\n<br>&nbsp;\n<br>&nbsp;\n<br>&nbsp;\n
2,1,0,package,org/eclipse/jface/dialogs#1,\nProvides support for dialogs.\n
2,2,0,package,org/eclipse/jface/dialogs#2,<h2>\nPackage Specification</h2>\nA dialog is a specialized window, typically consisting of a dialog area\nand a button bar, designed for narrow-focussed communication with the user.\n
2,3,1,package,org/eclipse/jface/dialogs#3,<p>The dialog framework consists of an abstract base class (<tt>Dialog</tt>),\nalong with more concrete dialog subclasses for displaying messages (<tt>MessageDialog</tt>),\nsoliciting text input (<tt>InputDialog</tt>), and displaying progress during\na long-running operation (<tt>ProgressMonitorDialog</tt>).\n
2,4,0,package,org/eclipse/jface/dialogs#4,<p>Dialog stores (<tt>IDialogStore</tt>, <tt>DialogStore</tt>) provide\na general framework for organizing a dialog's settings into key/value pairs.\n
2,5,0,package,org/eclipse/jface/dialogs#5,Multi-page dialogs are made easier through the use of dialog pages (<tt>IDialogPage</tt>,\n<tt>DialogPage</tt>).\n
2,6,1,package,org/eclipse/jface/dialogs#6,<p>Note: None of the classes in this package maintain global state.\n<br>&nbsp;\n
2,7,0,package,org/eclipse/jface/dialogs#7,<br>&nbsp;\n<br>&nbsp;\n
3,0,0,package,org/eclipse/jface/layout#0,\nProvides support for layout generation. \n<h2>\nPackage Specification</h2>\n<p> This package provides classes that can be used to generate layouts.\n
3,1,0,package,org/eclipse/jface/layout#1,\nProvides support for layout generation. \n
3,2,0,package,org/eclipse/jface/layout#2,<h2>\nPackage Specification</h2>\n<p> This package provides classes that can be used to generate layouts.\n
