type,id,apidoc_Text
package,org/eclipse/jface/layout,Provides support for layout generation. Package Specification This package provides classes that can be used to generate layouts.
package,org/eclipse/jface/contentassist,Provides a content assist add-on for implementors of IContentAssistSubjectControl.Content assist supports the user in writing&nbsp; by proposing contextsensitive completions at a given position. A completion can alsobe a incomplete in itself and content assist provides means to deal withnested completions.Package SpecificationISubjectControlContentAssistant defines the concept of the content assist add-on.It collaborates with content type specific completion processors (ISubjectControlContentAssistProcessor)in order to generate completion proposals (ICompletionProposal)valid at the current document position. The package provides a defaultimplementation SubjectControlContentAssistant which completely defines and implementsthe UI and the control flow for content assist.Deprecated, as of 3.2, replaced by Platform UI's field assist support
package,org/eclipse/jface/internal/text,
package,org/eclipse/jface/internal/text/html,
package,org/eclipse/jface/internal/text/source,Internal support classes and helpers for the org.eclipse.jface.text.source package.
package,org/eclipse/jface/menus,Provides support for trim specification. Package Specification This package provides classes for trim widgets.
package,org/eclipse/jface/text,
package,org/eclipse/jface/text/revisions,Provides a revision model and a protocol to display revision information in a vertical ruler column.Package SpecificationIRevisionRulerColumn is the protocol that a team provider can use to display line based revision control information to a document.RevisionInformation defines the revision model, which contains a list of Revisions, which in turn contain RevisionRanges.
package,org/eclipse/jface/text/link,
package,org/eclipse/jface/text/contentassist,Provides a content assist add-on for an ITextViewer.Content assist supports the user in writing&nbsp; by proposing contextsensitive completions at a given document position. A completion can alsobe a incomplete in itself and content assist provides means to deal withnested completions.Package SpecificationIContentAssistant defines the concept of the content assist add-on.It collaborates with content type specific completion processors (IContentAssistProcessor)in order to generate completion proposals (ICompletionProposal)valid at the current document position. The package provides a defaultimplementation ContentAssistant which completely defines and implementsthe UI and the control flow for content assist.&nbsp;
package,org/eclipse/jface/text/templates,
package,org/eclipse/jface/text/information,Provides an information provider add-on for an ITextViewer.An information provider presents information for a certain subject in aspecific information control. An information control usually is a floatingwindow.Package SpecificationIInformationPresenter defines the concept of an information provider.It collaborates with content type specific information providers (IInformationProvider)which determine for a certain offset in a text viewer an information subjectand the information available about this subject.. The package containsa default implementation of IInformationPresenter (InformationPresenter).
package,org/eclipse/jface/text/rules,Provides a framework for rule based text scanningand uses the framework to provide rule-driven default implementations ofIPresentationDamager, IPresentationRepairer and IDocumentPartitioner.Package SpecificationRuleBasedScanner is a document-based scanner controlled by IRuleobjects. When evaluated an IRule always returns an IToken.The package provides a set of rules whereby PatternRule is themost important one. PatternRule defines a pattern-configurablerule.
package,org/eclipse/jface/text/source,
package,org/eclipse/jface/commands,Provides JFace-specific support for commands.Package SpecificationThis package provides a handler that wraps a legacy instance ofIAction, as well as a manager for associating images with commands.
package,org/eclipse/jface/contexts,Provides JFace-specific support for contexts.Package SpecificationThis package provides some context identifiers that have special meaning in thecontext of JFace.
package,org/eclipse/jface/util,Provides useful building blocks used throughout JFace,including property change events, a listener list implementation, and runtimechecked assertions.&nbsp;
package,org/apache/commons/collections/splitmap,The split map concept is that of an object that implementsthe {@link org.apache.commons.collections.Put Put} and{@link org.apache.commons.collections.Get Get} interfaces,with differing generic types. This is like a pre-generics{@link java.util.Map Map} whose input key/value constraints aredifferent than its output key/value constraints. While it wouldbe possible to declare a split map with matching input/outputkey/value constraints, this would be a {@link java.util.Map Map}and would therefore make little sense (any Commons Collections{@link java.util.Map Map} implementation will also implement{@link org.apache.commons.collections.Put Put} and{@link org.apache.commons.collections.Get Get} with matchinggeneric parameters).The following decorators are provided:Transformed - transforms each element added
package,org/apache/commons/collections/keyvalue,This package contains implementations of collection and map related key/value classes.These are usually used in maps, however they can be used as data holders in any collection.The following key/value designs are included:Map Entry - various map entry implementationsKeyValue - a key and value pair, without map entry semanticsMultiKey - a holder of multiple keys tied together
package,java/rmi/activation,Provides support for RMI Object Activation. A remoteobject's reference can be made ``persistent'' and later activated into a``live'' object using the RMI activation mechanism.Package Specification##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT ##### ##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####Related DocumentationFor overviews, tutorials, examples, guides, and tool documentation, please see: ##### REFER TO NON-SPEC DOCUMENTATION HERE #####-->@since 1.2
package,java/rmi/server,Provides classes and interfaces for supporting the serverside of RMI. A group of classes are used by the stubs and skeletonsgenerated by the rmic stub compiler. Another group of classesimplements the RMI Transport protocol and HTTP tunneling.Package Specification##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT ##### ##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####Related DocumentationFor overviews, tutorials, examples, guides, and tool documentation, please see: ##### REFER TO NON-SPEC DOCUMENTATION HERE #####-->@since JDK1.1
package,java/lang/annotation,Provides library support for the Java programming language annotation facility.@version 1.2, 04/02/10@author	 Josh Bloch@since	 1.5
package,java/text,Provides classes and interfaces for handling text, dates, numbers, and messagesin a manner independent of natural languages. This means your main applicationor applet can be written to be language-independent, and it can rely uponseparate, dynamically-linked localized resources. This allows the flexibilityof adding localizations for new localizations at any time.These classes are capable of formatting dates, numbers, and messages, parsing;searching and sorting strings; and iterating over characters, words, sentences,and line breaks. This package contains three main groups of classes andinterfaces:Classes for iteration over textClasses for formatting and parsingClasses for string collationPackage Specification##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT ##### ##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####Related DocumentationFor overviews, tutorials, examples, guides, and tool documentation, please see: ##### REFER TO NON-SPEC DOCUMENTATION HERE #####-->@since JDK1.1
package,java/text/spi,Service provider classes for the classes in the java.text package.Package Specification##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT ##### ##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####Related DocumentationFor overviews, tutorials, examples, guides, and tool documentation, please see: ##### REFER TO NON-SPEC DOCUMENTATION HERE #####-->@since 1.6
package,java/util,Contains the collections framework, legacy collection classes, event model,date and time facilities, internationalization, and miscellaneous utilityclasses (a string tokenizer, a random-number generator, and a bit array).Package Specification Collections Framework Overview Collections Framework Annotated OutlineRelated DocumentationFor overviews, tutorials, examples, guides, and tool documentation, please see: Collections Framework Tutorial Collections Framework Design FAQ@since JDK1.0
