filePath,className,methodName
org/apache/commons/collections/iterators/CollatingIterator,CollatingIterator,addIterator
org/apache/commons/collections/map/AbstractLinkedMap,AbstractLinkedMap,entryAfter
org/apache/commons/collections/set/TransformedSortedSet,TransformedSortedSet,TransformedSortedSet
org/apache/commons/collections/bag/AbstractBagDecorator,AbstractBagDecorator,AbstractBagDecorator
org/apache/commons/collections/set/UnmodifiableSortedSet,UnmodifiableSortedSet,decorate
org/apache/commons/collections/collection/TransformedCollection,TransformedCollection,decorate
org/apache/commons/collections/set/UnmodifiableSet,UnmodifiableSet,decorate
org/apache/commons/collections/set/SynchronizedSortedSet,SynchronizedSortedSet,decorate
org/apache/commons/collections/set/AbstractSetDecorator,AbstractSetDecorator,AbstractSetDecorator
org/apache/commons/collections/map/LazySortedMap,LazySortedMap,getLazySortedMap
java/security/Timestamp,Timestamp,Timestamp
java/security/Timestamp,Timestamp,Timestamp
org/apache/commons/collections/buffer/SynchronizedBuffer,SynchronizedBuffer,SynchronizedBuffer
org/apache/commons/collections/map/UnmodifiableSortedMap,UnmodifiableSortedMap,decorate
org/apache/commons/collections/map/AbstractReferenceMap,AbstractReferenceMap,put
org/apache/commons/collections/map/AbstractReferenceMap,AbstractReferenceMap,put
org/apache/commons/collections/keyvalue/DefaultKeyValue,DefaultKeyValue,DefaultKeyValue
java/util/logging/LoggingPermission,LoggingPermission,LoggingPermission
java/security/AccessControlContext,AccessControlContext,AccessControlContext
org/apache/commons/collections/keyvalue/DefaultMapEntry,DefaultMapEntry,DefaultMapEntry
org/apache/commons/collections/map/FixedSizeSortedMap,FixedSizeSortedMap,decorate
org/apache/commons/collections/list/UnmodifiableList,UnmodifiableList,UnmodifiableList
org/apache/commons/collections/map/AbstractSortedMapDecorator,AbstractSortedMapDecorator,AbstractSortedMapDecorator
org/apache/commons/collections/set/TransformedSortedSet,TransformedSortedSet,decorate
org/eclipse/jface/fieldassist/ContentProposalAdapter,ContentProposalAdapter,ContentProposalAdapter
org/eclipse/jface/fieldassist/ContentProposalAdapter,ContentProposalAdapter,ContentProposalAdapter
org/apache/commons/collections/set/ListOrderedSet,ListOrderedSet,decorate
org/apache/commons/collections/map/DefaultedMap,DefaultedMap,decorate
java/net/Proxy,Proxy,Proxy
